Fecha,Hora,Clase de sitio,Arma empleada,Movil Agresor,Movil Victima,Sexo,Estado civil,Escolaridad,MARCA,
11/30/2018 , 08:15:00 AM,VIA PUBLICA,ARMA DE FUEGO,A PIE,A PIE,MASCULINO,SOLTERO,SUPERIOR,MOTOROLA,
11/30/2018 , 08:00:00 PM,CANCHA DE FUTBOL,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,TECNOLOGO,SAMSUNG,
11/30/2018 , 08:00:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,BICICLETA,MASCULINO,SOLTERO,SUPERIOR,SAMSUNG,
11/30/2018 , 08:00:00 PM,VIA PUBLICA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,MASCULINO,SOLTERO,SUPERIOR,APPLE,
11/30/2018 , 08:00:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 08:00:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO BUS,FEMENINO,SOLTERO,PRIMARIA,HUAWEI,
11/30/2018 , 07:50:00 AM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,BICICLETA,BICICLETA,MASCULINO,SOLTERO,SECUNDARIA,MOTOROLA,
11/30/2018 , 07:40:00 PM,VIA PUBLICA,ARMA DE FUEGO,PASAJERO VEHICULO,A PIE,MASCULINO,CON PAREJA,TECNICO,HUAWEI,
11/30/2018 , 07:30:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO VEHICULO,FEMENINO,CON PAREJA,TECNICO,HUAWEI,
11/30/2018 , 07:30:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,PASAJERO MOTOCICLETA,A PIE,FEMENINO,SOLTERO,TECNICO,HUAWEI,
11/30/2018 , 07:30:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,PASAJERO BUS,MASCULINO,SOLTERO,SECUNDARIA,HUAWEI,
11/30/2018 , 07:30:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO BUS,FEMENINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 07:30:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,MASCULINO,SOLTERO,SUPERIOR,SAMSUNG,
11/30/2018 , 07:30:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,FEMENINO,SOLTERO,TECNICO,SAMSUNG,
11/30/2018 , 07:30:00 AM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,FEMENINO,SOLTERO,SECUNDARIA,SAMSUNG,
11/30/2018 , 07:30:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO BUS,MASCULINO,CON PAREJA,SUPERIOR,IPHONE,
11/30/2018 , 07:30:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,FEMENINO,SOLTERO,TECNOLOGO,-,
11/30/2018 , 07:30:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,MASCULINO,SOLTERO,SUPERIOR,APPLE,
11/30/2018 , 07:30:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,SUPERIOR,ASUS,
11/30/2018 , 07:00:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,MASCULINO,SOLTERO,TECNOLOGO,SAMSUNG,
11/30/2018 , 07:00:00 PM,TRANSPORTE PUBLICO,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,FEMENINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 07:00:00 PM,CAFETERIAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,SOLTERO,SUPERIOR,SAMSUNG,
11/30/2018 , 07:00:00 PM,TRANSPORTE PUBLICO,ARMA DE FUEGO,A PIE,PASAJERO BUS,FEMENINO,SOLTERO,TECNICO,HUAWEI,
11/30/2018 , 07:00:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO BUS,MASCULINO,SOLTERO,SUPERIOR,HUAWEI,
11/30/2018 , 07:00:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,BICICLETA,CONDUCTOR VEHICULO,FEMENINO,CON PAREJA,SUPERIOR,SAMSUNG,
11/30/2018 , 07:00:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,FEMENINO,SOLTERO,TECNICO,LENOVO,
11/30/2018 , 07:00:00 PM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,FEMENINO,SOLTERO,SECUNDARIA,-,
11/30/2018 , 07:00:00 AM,CAJERO AUTOMATICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,MASCULINO,SOLTERO,SECUNDARIA,HUAWEI,
11/30/2018 , 07:00:00 AM,VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,CONDUCTOR VEHICULO,MASCULINO,CON PAREJA,NO REPORTADO,HUAWEI,
11/30/2018 , 07:00:00 AM,VIA PUBLICA,ARMA BLANCA / CORTOPUNZANTE,A PIE,PASAJERO AERONAVE,MASCULINO,SOLTERO,TECNICO,HUAWEI,
11/30/2018 , 07:00:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,PASAJERO BUS,MASCULINO,SOLTERO,SUPERIOR,MOTOROLA,
11/30/2018 , 07:00:00 AM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,FEMENINO,SOLTERO,SUPERIOR,ALCATEL,
11/30/2018 , 06:45:00 PM,VIA PUBLICA,SIN EMPLEO DE ARMAS,BICICLETA,A PIE,FEMENINO,SOLTERO,SUPERIOR,MOTOROLA,
11/30/2018 , 06:40:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,MASCULINO,CON PAREJA,SUPERIOR,NO REPORTADO,
11/30/2018 , 06:35:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,SECUNDARIA,SAMSUNG,
11/30/2018 , 06:30:00 PM,CASAS DE HABITACION,PALANCAS,A PIE,A PIE,MASCULINO,SOLTERO,SECUNDARIA,SAMSUNG,
11/30/2018 , 06:30:00 PM,CASAS DE HABITACION,PALANCAS,A PIE,A PIE,MASCULINO,SOLTERO,SECUNDARIA,IPRO,
11/30/2018 , 06:30:00 PM,TRANSPORTE PUBLICO,SIN EMPLEO DE ARMAS,PASAJERO BUS,PASAJERO BUS,MASCULINO,SOLTERO,SUPERIOR,SAMSUNG,
